country,year,empl_agri,empl_indu,empl_serv,self_empl,unemp_youth,unemp_adult,urban,mobile,internet
Portugal,2004,12.1,20.2,56.6,26.1,14.1,5.8,56.907,100.8874,31.78
Portugal,2005,11.9,19.4,57.5,25.8,16.2,7.1,57.522,108.9083,34.99
Portugal,2006,11.7,19.5,57.7,24.7,16.5,7.2,58.137,116.0367,38.01
Portugal,2007,11.6,19.2,57.7,24.8,16.7,7.6,58.749,127.6766,42.09
Portugal,2008,11.2,18.3,59.4,24.3,16.7,7.1,59.359,132.9172,44.13
Portugal,2009,11.2,17.8,60.5,24,20.3,9,59.964,111.4776,48.27
Portugal,2010,10.9,17.6,61.4,23.1,22.8,10.4,60.567,115.3033,53.3
Portugal,2011,9.9,17.8,62.7,21.5,30.3,11.8,61.167,116.3901,55.25
Romania,2003,35.7,23.7,34.4,39.5,19.5,5.7,52.912,31.70898,8.9
Romania,2004,31.6,24.5,37.1,34.6,22.3,6.1,53.043,46.10214,15
Romania,2005,32.1,23.5,37.4,35.4,20.2,5.9,53.174,60.38972,21.5
Romania,2006,30.5,23.3,38.8,33.9,21.4,6,53.305,72.4709,24.66
Romania,2007,29.5,23,39,33.7,20.1,5.2,53.436,92.66015,28.3
Romania,2008,28.7,22.4,39.7,32.6,18.6,4.7,53.567,111.4047,32.42
Romania,2009,29.1,21,40.89999,32.8,20.8,5.7,53.698,114.5423,36.6
Romania,2010,30.1,20,41.3,34.4,22.1,5.8,53.829,111.4289,39.93
Romania,2011,28.6,20.5,42.7,32.7,23.9,5.9,53.96,107.38720000000001,40.01
Slovak Republic,2003,5.8,28.4,55.9,9.5,32.9,14.6,55.863,68.28426,43.04
Slovak Republic,2004,5.1,28.8,55.7,12.1,32.8,16.5,55.713,79.34105,52.89
Slovak Republic,2005,4.7,28.6,56.4,12.6,30.1,14.4,55.563,84.21373,55.19
Slovak Republic,2006,4.4,28.2,56.7,12.6,26.6,11.7,55.412,90.65913,56.08
Slovak Republic,2007,4.2,28.6,56.3,12.9,20.3,10,55.261,112.2527,61.8
Slovak Republic,2008,4,28.9,55.8,13.8,19,8.5,55.111,101.9317,66.05
Slovak Republic,2009,3.6,26.6,58.3,15.7,27.3,10.5,54.96,101.3396,70
Slovak Republic,2010,3.2,25.4,59.8,16,33.6,12.5,54.685,109.0472,75.71
Slovak Republic,2011,3,26.5,59.59999,15.9,33.4,11.8,54.41,109.9776,74.44
Slovenia,2003,8.4,30.5,54,14,15.3,5.6,50.685,87.33423,31.85479
Slovenia,2004,9.6,29.6,53.1,15.6,14,5.2,50.593,92.68311,40.81
Slovenia,2005,8.8,30.5,53.2,15.1,15.9,5.5,50.501,87.94625,46.81
Slovenia,2006,9.6,28.5,55.2,16.2,13.9,5.2,50.409,90.56941,54.01
Slovenia,2007,10.2,27.7,54.5,15.9,10.1,4.3,50.317,95.45857,56.74
Slovenia,2008,8.6,27.9,56.1,14.1,10.4,3.7,50.224,101.1035,58
Slovenia,2009,9.1,26,57.4,16.2,13.6,5.2,50.133,102.7485,64
Slovenia,2010,8.8,26,58.5,17.3,14.7,6.7,50.04,103.2965,70
Slovenia,2011,8.6,25.2,59.60001,16.8,15.7,7.6,49.948,105.1697,67.33999
Spain,2003,5.7,18.3,63.3,18.1,22.3,9.8,76.778,88.5852,39.93
Spain,2004,5.5,17.6,64.2,18,22.5,9.6,77.022,90.4292,44.01
Spain,2005,5.3,17,64.9,18,19.6,7.8,77.263,98.40193,47.88
Spain,2006,4.8,16.3,65.7,17.7,17.9,7.3,77.502,103.7617,50.37
Spain,2007,4.6,15.7,66.3,17.5,18.1,7.1,77.74,108.4148,55.11
Spain,2008,4,15.6,68.09999,17.6,24.5,9.8,77.976,109.6809,59.6
Spain,2009,4.2,14.4,70.8,16.8,37.7,15.8,78.21,111.5802,62.4
Spain,2010,4.3,13.8,72.60001,16.7,41.5,17.9,78.442,111.2758,65.8
Spain,2011,4.2,13.8,73.89999,16.4,46.2,19.3,78.673,113.0635,67.6
Sweden,2003,2.1,16.9,74.89999,10.4,14.3,4.5,84.196,98.42588,79.13
Sweden,2004,2.1,16.7,75.1,10.5,18.5,5.2,84.258,97.81454,83.89
Sweden,2005,2,15.9,75.7,10.8,22.8,5.9,84.319,100.8177,84.83
Sweden,2006,1.9,15.6,75.6,10.7,21.5,5.1,84.43,105.6913,87.76
Sweden,2007,2.3,15.1,75.9,10.6,19.3,4.3,84.588,110.4562,82.01
Sweden,2008,2.1,14.4,76.10001,10.4,20.2,4.2,84.746,108.4405,90
Sweden,2009,2.2,13.3,77.2,10.7,25,6,84.902,112.1339,91
Sweden,2010,2.1,12.9,77.8,10.9,24.8,6.3,85.056,117.1611,90
Sweden,2011,2,12.9,77.7,10.4,22.8,5.6,85.21,121.2223,92.76999
United Kingdom,2003,1.2,15.3,75.39999,12.8,11.4,3.7,79.339,90.88456,64.82
United Kingdom,2004,1.2,14.1,76.1,13.1,10.7,3.5,79.629,99.5062,65.61
United Kingdom,2005,1.3,13.9,76.3,13,12.8,3.3,79.915,108.592,70
United Kingdom,2006,1.3,13.6,76.3,13.2,13.9,3.8,80.199,115.6003,68.82
United Kingdom,2007,1.3,13.6,76.00001,13.4,14.3,3.7,80.479,121.1018,75.09
United Kingdom,2008,1.1,12.5,76.7,13.3,15,4,80.757,122.1865,78.39
United Kingdom,2009,1.1,11,78.7,13.6,19.1,5.6,81.031,123.9547,83.56
United Kingdom,2010,1.2,11.2,78.89999,14,19.9,5.9,81.302,123.6255,85
United Kingdom,2011,1.2,11.2,78.99999,14.2,21.3,5.9,81.57,123.6042,85.38
